[2022-04-09 23:37:37,933][line: 84] ==> creating ./cache/logs/2022-04-09-23-37.log
[2022-04-09 23:37:56,288][line: 153] ==> ====Epoch:[1/10] avg_train_loss=1.36188====
[2022-04-09 23:37:56,288][line: 154] ==> ====Training epoch took: 00:18====
[2022-04-09 23:38:17,189][line: 163] ==> ====Epoch:[1/10] avg_val_loss=1.28057 avg_val_acc=0.43917====
[2022-04-09 23:38:17,189][line: 164] ==> ====Validation epoch took: 00:39====
[2022-04-09 23:38:34,578][line: 153] ==> ====Epoch:[2/10] avg_train_loss=0.93918====
[2022-04-09 23:38:34,578][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:38:55,598][line: 163] ==> ====Epoch:[2/10] avg_val_loss=0.85381 avg_val_acc=0.67225====
[2022-04-09 23:38:55,598][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 23:39:12,891][line: 153] ==> ====Epoch:[3/10] avg_train_loss=0.52840====
[2022-04-09 23:39:12,891][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:39:33,519][line: 163] ==> ====Epoch:[3/10] avg_val_loss=0.58175 avg_val_acc=0.80158====
[2022-04-09 23:39:33,519][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 23:39:50,764][line: 153] ==> ====Epoch:[4/10] avg_train_loss=0.33700====
[2022-04-09 23:39:50,764][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:40:11,293][line: 163] ==> ====Epoch:[4/10] avg_val_loss=0.45977 avg_val_acc=0.85242====
[2022-04-09 23:40:11,293][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 23:40:28,678][line: 153] ==> ====Epoch:[5/10] avg_train_loss=0.24378====
[2022-04-09 23:40:28,678][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:40:49,249][line: 163] ==> ====Epoch:[5/10] avg_val_loss=0.36546 avg_val_acc=0.89317====
[2022-04-09 23:40:49,249][line: 164] ==> ====Validation epoch took: 00:37====
[2022-04-09 23:41:06,530][line: 153] ==> ====Epoch:[6/10] avg_train_loss=0.18340====
[2022-04-09 23:41:06,531][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:41:27,403][line: 163] ==> ====Epoch:[6/10] avg_val_loss=0.33419 avg_val_acc=0.90908====
[2022-04-09 23:41:27,404][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 23:41:44,867][line: 153] ==> ====Epoch:[7/10] avg_train_loss=0.14709====
[2022-04-09 23:41:44,867][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:42:05,489][line: 163] ==> ====Epoch:[7/10] avg_val_loss=0.30999 avg_val_acc=0.91825====
[2022-04-09 23:42:05,489][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 23:42:22,992][line: 153] ==> ====Epoch:[8/10] avg_train_loss=0.12325====
[2022-04-09 23:42:22,993][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:42:43,595][line: 163] ==> ====Epoch:[8/10] avg_val_loss=0.29643 avg_val_acc=0.92217====
[2022-04-09 23:42:43,595][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 23:43:01,000][line: 153] ==> ====Epoch:[9/10] avg_train_loss=0.09756====
[2022-04-09 23:43:01,001][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:43:21,641][line: 163] ==> ====Epoch:[9/10] avg_val_loss=0.29344 avg_val_acc=0.92683====
[2022-04-09 23:43:21,641][line: 164] ==> ====Validation epoch took: 00:38====
[2022-04-09 23:43:39,126][line: 153] ==> ====Epoch:[10/10] avg_train_loss=0.08365====
[2022-04-09 23:43:39,126][line: 154] ==> ====Training epoch took: 00:17====
[2022-04-09 23:43:59,703][line: 163] ==> ====Epoch:[10/10] avg_val_loss=0.29674 avg_val_acc=0.92675====
[2022-04-09 23:43:59,703][line: 164] ==> ====Validation epoch took: 00:38====
